SMILES,tpsa,tpsa_bounds,logp,logp_bounds,molweight,molweight_bounds,all_bounds
O=C(NCC(NC1CC1)C(=O)Nc1ccc(N2CCOCC2=O)c(C(F)F)c1)c1ccc(Cl)s1,99.77,False,3.1914,True,512.1096603,False,False
O=C(Nc1ccc(-n2ccncc2=O)cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,107.84,False,5.2527,False,528.0771371,False,False
O=C1C(NS(=O)(=O)c2cc3ncccc3s2)CCN1Cc1cc2ccncc2[nH]1,108.05,False,2.252,True,427.0772814,False,False
COC(=O)c1cccc2c1nc(C(=O)Nc1ccc(C(=O)N3CCCC3)cc1F)n2CC(=O)Nc1ccc(Cl)cn1,135.52,False,4.1374,False,578.1480738,False,False
CN1CCC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,63.3,False,4.8835,False,454.1230247,False,False
CCCN1CCC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,63.3,False,5.6637,False,482.1543248,False,False
CC(C)N1CCC(NC(=O)c2nc3c(C(=O)N4CC(O)C4)cccc3n2CCc2ccc(Cl)cc2)CC1,90.7,False,3.3517,True,523.2350176,False,False
CC(C)N1CCC(NC(=O)c2nc3ccc(S(=O)(=O)CCO)cc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,146.52,False,2.092,True,562.1765168,False,False
COCCOc1cccc2nc(C(=O)NC3CCN(C(C)C)CC3)n(CC(=O)Nc3ccc(Br)cn3)c12,110.61,False,3.4603,True,572.1746656,False,False
O=C(CCNC(=O)c1ccc(Cl)s1)Nc1ccc(N2CCOCC2=O)c(C(=O)O)c1,125.04,False,2.2215,True,451.060484,False,False
COC(=O)C1CN(S(=O)(=O)c2cc3ccc(Cl)cc3[nH]2)CC(=O)N1Cc1ccc2c(N)ncnc2c1,151.58,False,1.9214,False,528.0982665,False,False
CCOC(=O)CN(C(=O)c1cc2c(Cl)cccc2n1Cc1cc(-c2ccc(Cl)s2)on1)C1CCN(C(C)C)CC1,80.81,False,6.591,False,602.1521319,False,False
CC(C)N1CCC(NC(=O)c2nn(Cc3cc(-c4ccc(Cl)s4)on3)c3ccc(C(=O)O)cc23)CC1,113.49,False,4.7553,False,527.139403,False,False
COCC1CCC(COC)N1C(=O)c1cc(C(=O)NC2CCN(C(C)C)CC2)n(Cc2cc(-c3ccc(Cl)s3)on2)n1,114.96,False,4.1699,False,618.239117,False,False
CC(C)N1CCC(NC(=O)c2nc3cc(C(=O)O)ccc3n2CCc2ccc(Cl)cc2)CC1,87.46,False,4.2332,False,468.1928185,False,False
O=C1C(NS(=O)(=O)c2cc3ccc(Cl)cc3s2)CCN1Cc1cc2cnccc2[nH]1,95.16,False,3.5104,True,460.0430601,False,False
